Date,Total Current Users
2017-10-07,1
2017-10-08,2
2017-10-09,2
2017-10-10,2
2017-10-11,2
2017-10-12,2
2017-10-13,4
2017-10-14,6
2017-10-15,7
2017-10-16,9
2017-10-17,10
2017-10-18,11
2017-10-19,12
2017-10-20,12
2017-10-21,12
2017-10-22,10
2017-10-23,11
2017-10-24,11
2017-10-25,11
2017-10-26,12
2017-10-27,13
2017-10-28,13
2017-10-29,10
2017-10-30,10
2017-10-31,9
2017-11-01,9
2017-11-02,8
2017-11-03,8
2017-11-04,9
2017-11-05,10
2017-11-06,10
2017-11-07,11
2017-11-08,9
2017-11-09,10
2017-11-10,12
2017-11-11,11
2017-11-12,13
2017-11-13,13
2017-11-14,12
2017-11-15,12
2017-11-16,11
2017-11-17,10
2017-11-18,9
2017-11-19,12
2017-11-20,13
2017-11-21,14
2017-11-22,17
2017-11-23,16
2017-11-24,19
2017-11-25,20
2017-11-26,25
2017-11-27,29
2017-11-28,32
2017-11-29,32
2017-11-30,34
2017-12-01,34
2017-12-02,36
2017-12-03,37
2017-12-04,38
2017-12-05,40
2017-12-06,41
2017-12-07,43
2017-12-08,44
2017-12-09,43
2017-12-10,42
2017-12-11,44
2017-12-12,42
2017-12-13,43
2017-12-14,42
2017-12-15,40
2017-12-16,40
2017-12-17,40
2017-12-18,40
2017-12-19,44
2017-12-20,46
2017-12-21,52
2017-12-22,48
2017-12-23,48
2017-12-24,46
2017-12-25,43
2017-12-26,45
2017-12-27,44
2017-12-28,43
2017-12-29,45
2017-12-30,45
2017-12-31,48
2018-01-01,50
2018-01-02,55
2018-01-03,57
2018-01-04,58
2018-01-05,60
2018-01-06,59
2018-01-07,56
2018-01-08,60
2018-01-09,64
2018-01-10,61
2018-01-11,68
2018-01-12,72
2018-01-13,72
2018-01-14,72
2018-01-15,73
2018-01-16,74
2018-01-17,77
2018-01-18,69
2018-01-19,64
2018-01-20,65
2018-01-21,62
2018-01-22,62
2018-01-23,64
2018-01-24,66
2018-01-25,65
2018-01-26,68
2018-01-27,67
2018-01-28,67
2018-01-29,71
2018-01-30,69
2018-01-31,68
2018-02-01,66
2018-02-02,66
2018-02-03,66
2018-02-04,66
2018-02-05,62
2018-02-06,64
2018-02-07,65
2018-02-08,63
2018-02-09,64
2018-02-10,62
2018-02-11,66
2018-02-12,67
2018-02-13,64
2018-02-14,63
2018-02-15,63
2018-02-16,66
2018-02-17,67
2018-02-18,65
2018-02-19,67
2018-02-20,65
2018-02-21,66
2018-02-22,64
2018-02-23,64
2018-02-24,66
2018-02-25,69
2018-02-26,69
2018-02-27,69
2018-02-28,65
2018-03-01,69
2018-03-02,67
2018-03-03,67
2018-03-04,68
2018-03-05,69
2018-03-06,70
2018-03-07,70
2018-03-08,70
2018-03-09,71
2018-03-10,78
2018-03-11,75
2018-03-12,75
2018-03-13,75
2018-03-14,76
2018-03-15,76
2018-03-16,75
2018-03-17,75
2018-03-18,74
2018-03-19,77
2018-03-20,77
2018-03-21,70
2018-03-22,71
2018-03-23,72
2018-03-24,74
2018-03-25,77
2018-03-26,78
2018-03-27,79
2018-03-28,79
2018-03-29,78
2018-03-30,77
2018-03-31,78
2018-04-01,79
2018-04-02,77
2018-04-03,76
2018-04-04,78
2018-04-05,77
2018-04-06,76
2018-04-07,79
2018-04-08,74
2018-04-09,75
2018-04-10,77
2018-04-11,78
2018-04-12,75
2018-04-13,77
2018-04-14,77
2018-04-15,76
2018-04-16,79
2018-04-17,76
2018-04-18,84
2018-04-19,82
2018-04-20,83
2018-04-21,83
2018-04-22,84
2018-04-23,85
2018-04-24,84
2018-04-25,83
2018-04-26,78
2018-04-27,78
2018-04-28,77
2018-04-29,80
2018-04-30,79
2018-05-01,80
2018-05-02,81
2018-05-03,80
2018-05-04,80
2018-05-05,77
2018-05-06,84
2018-05-07,81
2018-05-08,80
2018-05-09,82
2018-05-10,83
2018-05-11,85
2018-05-12,85
2018-05-13,84
2018-05-14,89
2018-05-15,87
2018-05-16,86
2018-05-17,88
2018-05-18,87
2018-05-19,89
2018-05-20,88
2018-05-21,91
2018-05-22,96
2018-05-23,92
2018-05-24,89
2018-05-25,92
2018-05-26,93
2018-05-27,92
2018-05-28,96
2018-05-29,97
2018-05-30,96
2018-05-31,100
2018-06-01,98
2018-06-02,100
2018-06-03,99
2018-06-04,99
2018-06-05,101
2018-06-06,98
2018-06-07,98
2018-06-08,96
2018-06-09,97
2018-06-10,101
2018-06-11,103
2018-06-12,106
2018-06-13,108
2018-06-14,107
2018-06-15,107
2018-06-16,105
2018-06-17,105
2018-06-18,109
2018-06-19,109
2018-06-20,109
2018-06-21,111
2018-06-22,116
2018-06-23,114
2018-06-24,112
2018-06-25,110
2018-06-26,113
2018-06-27,116
2018-06-28,119
2018-06-29,122
2018-06-30,124
2018-07-01,125
2018-07-02,126
2018-07-03,130
2018-07-04,128
2018-07-05,123
2018-07-06,118
2018-07-07,117
2018-07-08,120
2018-07-09,126
2018-07-10,125
2018-07-11,124
2018-07-12,124
2018-07-13,126
2018-07-14,126
2018-07-15,124
2018-07-16,127
2018-07-17,130
2018-07-18,132
2018-07-19,127
2018-07-20,127
2018-07-21,131
2018-07-22,136
2018-07-23,139
2018-07-24,141
2018-07-25,137
2018-07-26,142
2018-07-27,149
2018-07-28,151
2018-07-29,154
2018-07-30,152
2018-07-31,149
2018-08-01,149
2018-08-02,154
2018-08-03,153
2018-08-04,153
2018-08-05,156
2018-08-06,149
2018-08-07,154
2018-08-08,154
2018-08-09,151
2018-08-10,153
2018-08-11,155
2018-08-12,156
2018-08-13,162
2018-08-14,163
2018-08-15,160
2018-08-16,160
2018-08-17,158
2018-08-18,158
2018-08-19,151
2018-08-20,148
2018-08-21,158
2018-08-22,155
2018-08-23,159
2018-08-24,152
2018-08-25,149
2018-08-26,148
2018-08-27,149
2018-08-28,156
2018-08-29,159
2018-08-30,159
2018-08-31,162
2018-09-01,161
2018-09-02,163
2018-09-03,163
2018-09-04,162
2018-09-05,165
2018-09-06,167
2018-09-07,166
2018-09-08,168
2018-09-09,170
2018-09-10,179
2018-09-11,183
2018-09-12,187
2018-09-13,186
2018-09-14,189
2018-09-15,194
2018-09-16,192
2018-09-17,198
2018-09-18,202
2018-09-19,200
2018-09-20,203
2018-09-21,206
2018-09-22,216
2018-09-23,214
2018-09-24,218
2018-09-25,222
2018-09-26,223
2018-09-27,219
2018-09-28,216
2018-09-29,215
2018-09-30,211
2018-10-01,218
2018-10-02,212
2018-10-03,210
2018-10-04,211
2018-10-05,212
2018-10-06,217
2018-10-07,212
2018-10-08,206
2018-10-09,218
2018-10-10,217
2018-10-11,219
2018-10-12,213
2018-10-13,212
2018-10-14,214
2018-10-15,224
2018-10-16,218
2018-10-17,209
2018-10-18,214
2018-10-19,218
2018-10-20,215
2018-10-21,215
2018-10-22,220
2018-10-23,231
2018-10-24,227
2018-10-25,226
2018-10-26,235
2018-10-27,238
2018-10-28,245
2018-10-29,246
2018-10-30,250
2018-10-31,251
2018-11-01,245
2018-11-02,243
2018-11-03,239
2018-11-04,245
2018-11-05,252
2018-11-06,258
2018-11-07,261
2018-11-08,265
2018-11-09,269
2018-11-10,272
2018-11-11,272
2018-11-12,281
2018-11-13,286
2018-11-14,290
2018-11-15,281
2018-11-16,278
2018-11-17,272
2018-11-18,274
2018-11-19,273
2018-11-20,275
2018-11-21,273
2018-11-22,274
2018-11-23,273
2018-11-24,273
2018-11-25,268
2018-11-26,280
2018-11-27,283
2018-11-28,292
2018-11-29,294
2018-11-30,293
2018-12-01,292
2018-12-02,299
2018-12-03,301
2018-12-04,304
2018-12-05,308
2018-12-06,310
2018-12-07,301
2018-12-08,304
2018-12-09,297
2018-12-10,293
2018-12-11,304
2018-12-12,307
2018-12-13,307
2018-12-14,317
2018-12-15,315
2018-12-16,309
2018-12-17,324
2018-12-18,324
2018-12-19,322
2018-12-20,326
2018-12-21,327
2018-12-22,323
2018-12-23,322
2018-12-24,323
2018-12-25,308
2018-12-26,306
2018-12-27,292
2018-12-28,284
2018-12-29,281
2018-12-30,283
2018-12-31,286
2019-01-01,296
2019-01-02,311
2019-01-03,319
2019-01-04,320
2019-01-05,319
2019-01-06,333
2019-01-07,342
2019-01-08,353
2019-01-09,361
2019-01-10,367
2019-01-11,369
2019-01-12,371
2019-01-13,374
2019-01-14,378
2019-01-15,381
2019-01-16,386
2019-01-17,382
2019-01-18,390
2019-01-19,388
2019-01-20,391
2019-01-21,399
2019-01-22,404
2019-01-23,394
2019-01-24,407
2019-01-25,407
2019-01-26,405
2019-01-27,403
2019-01-28,406
2019-01-29,415
2019-01-30,412
